Date,RefRate,Savings12M
1997-01-01,14.00,12.00
1997-02-01,14.00,12.00
1997-03-01,14.00,12.00
1997-04-01,13.00,11.50
1997-05-01,13.00,11.50
1997-06-01,13.00,11.50
1997-07-01,12.00,11.00
1997-08-01,12.00,11.00
1997-09-01,12.00,11.00
1997-10-01,11.00,10.50
1997-11-01,11.00,10.50
1997-12-01,11.00,10.50
1998-01-01,11.00,10.50
1998-02-01,11.00,10.50
1998-03-01,11.00,10.50
1998-04-01,10.50,10.00
1998-05-01,10.50,10.00
1998-06-01,10.50,10.00
1998-07-01,10.00,9.60
1998-08-01,10.00,9.60
1998-09-01,10.00,9.60
1998-10-01,9.60,9.20
1998-11-01,9.60,9.20
1998-12-01,9.60,9.20
1999-01-01,9.60,9.00
1999-02-01,9.60,9.00
1999-03-01,9.60,9.00
1999-04-01,9.60,9.00
1999-05-01,9.60,9.00
1999-06-01,9.60,9.00
1999-07-01,9.60,9.00
1999-08-01,9.60,9.00
1999-09-01,9.60,9.00
1999-10-01,9.60,9.00
1999-11-01,9.60,9.00
1999-12-01,9.60,9.00
2000-01-01,9.60,8.80
2000-02-01,9.60,8.80
2000-03-01,9.60,8.80
2000-04-01,9.00,8.40
2000-05-01,9.00,8.40
2000-06-01,9.00,8.40
2000-07-01,8.40,8.00
2000-08-01,8.40,8.00
2000-09-01,8.40,8.00
2000-10-01,8.00,7.60
2000-11-01,8.00,7.60
2000-12-01,8.00,7.60
2001-01-01,8.00,7.20
2001-02-01,8.00,7.20
2001-03-01,8.00,7.20
2001-04-01,7.50,6.90
2001-05-01,7.50,6.90
2001-06-01,7.50,6.90
2001-07-01,7.20,6.60
2001-08-01,7.20,6.60
2001-09-01,7.20,6.60
2001-10-01,7.20,6.60
2001-11-01,7.20,6.60
2001-12-01,7.20,6.60
2002-01-01,7.20,6.60
2002-02-01,7.20,6.60
2002-03-01,7.20,6.60
2002-04-01,7.20,6.60
2002-05-01,7.20,6.60
2002-06-01,7.20,6.60
2002-07-01,7.20,6.60
2002-08-01,7.20,6.80
2002-09-01,7.20,6.80
2002-10-01,7.20,6.80
2002-11-01,7.20,6.80
2002-12-01,7.20,7.00
2003-01-01,7.20,7.00
2003-02-01,7.20,7.00
2003-03-01,7.20,7.00
2003-04-01,7.50,7.20
2003-05-01,7.50,7.20
2003-06-01,7.50,7.20
2003-07-01,7.50,7.20
2003-08-01,7.50,7.20
2003-09-01,7.50,7.20
2003-10-01,7.50,7.20
2003-11-01,7.50,7.20
2003-12-01,7.50,7.20
2004-01-01,7.50,7.20
2004-02-01,7.50,7.20
2004-03-01,7.50,7.20
2004-04-01,7.50,7.20
2004-05-01,7.50,7.20
2004-06-01,7.50,7.20
2004-07-01,7.50,7.40
2004-08-01,7.50,7.40
2004-09-01,7.50,7.60
2004-10-01,7.50,7.80
2004-11-01,7.50,8.00
2004-12-01,7.50,8.20
2005-01-01,7.50,8.40
2005-02-01,7.50,8.60
2005-03-01,7.50,8.80
2005-04-01,7.50,9.00
2005-05-01,7.50,9.20
2005-06-01,7.50,9.40
2005-07-01,7.50,9.60
2005-08-01,7.50,9.80
2005-09-01,7.50,10.00
2005-10-01,7.50,10.20
2005-11-01,7.50,10.40
2005-12-01,7.50,10.60
2006-01-01,7.50,10.80
2006-02-01,7.50,11.00
2006-03-01,7.50,11.20
2006-04-01,8.00,11.40
2006-05-01,8.00,11.60
2006-06-01,8.00,11.80
2006-07-01,8.00,11.80
2006-08-01,8.00,11.80
2006-09-01,8.00,11.80
2006-10-01,8.00,11.60
2006-11-01,8.00,11.40
2006-12-01,8.00,11.20
2007-01-01,8.00,11.00
2007-02-01,8.00,10.80
2007-03-01,8.00,10.60
2007-04-01,8.00,10.40
2007-05-01,8.00,10.20
2007-06-01,8.00,10.00
2007-07-01,8.00,9.80
